,squadraa,squadraa_xg,squadraa_xag,squadraa_xgxag,squadraa_npzxg,squadraa_npxgxag,avversarioa_xg,avversarioa_xag,avversarioa_xgxag,avversarioa_npzxg,avversarioa_npxgxag,squadrab,squadrab_xg,squadrab_xag,squadrab_xgxag,squadrab_npzxg,squadrab_npxgxag,avversariob_xg,avversariob_xag,avversariob_xgxag,avversariob_npzxg,avversariob_npxgxag,risultato
85,Fiorentina,1.17,0.84,2.0,1.17,2.0,0.23,0.21,0.45,0.23,0.45,Genoa,0.38,0.22,0.6000000000000001,0.38,0.6000000000000001,1.2,0.41000000000000003,1.62,1.2,1.62,1
86,Fiorentina,1.17,0.84,2.0,1.17,2.0,0.23,0.21,0.45,0.23,0.45,Salernitana,0.32,0.31,0.63,0.32,0.63,1.34,0.93,2.27,1.34,2.27,1
87,Fiorentina,1.17,0.84,2.0,1.17,2.0,0.23,0.21,0.45,0.23,0.45,Roma,1.72,1.05,2.77,1.72,2.77,0.45,0.17,0.62,0.45,0.62,2
88,Fiorentina,1.17,0.84,2.0,1.17,2.0,0.23,0.21,0.45,0.23,0.45,Bologna,0.77,0.63,1.4,0.77,1.4,0.86,0.66,1.52,0.86,1.52,1
89,Fiorentina,1.17,0.84,2.0,1.17,2.0,0.23,0.21,0.45,0.23,0.45,Cagliari,0.52,0.32,0.84,0.52,0.84,0.9400000000000001,0.64,1.58,0.9400000000000001,1.58,1
90,Fiorentina,1.17,0.84,2.0,1.17,2.0,0.23,0.21,0.45,0.23,0.45,Udinese,0.88,0.6900000000000001,1.57,0.88,1.57,1.16,0.75,1.9,0.78,1.53,1
91,Fiorentina,1.17,0.84,2.0,1.17,2.0,0.23,0.21,0.45,0.23,0.45,Torino,0.72,0.53,1.25,0.72,1.25,1.71,0.8200000000000001,2.5300000000000002,0.92,1.74,1
92,Fiorentina,1.17,0.84,2.0,1.17,2.0,0.23,0.21,0.45,0.23,0.45,Lazio,1.5,1.01,2.51,1.5,2.51,1.0,0.74,1.74,1.0,1.74,1
93,Fiorentina,1.17,0.84,2.0,1.17,2.0,0.23,0.21,0.45,0.23,0.45,Empoli,0.8300000000000001,0.53,1.3599999999999999,0.8300000000000001,1.3599999999999999,1.25,1.15,2.4,1.25,2.4,1
94,Fiorentina,1.17,0.84,2.0,1.17,2.0,0.23,0.21,0.45,0.23,0.45,Sassuolo,0.31,0.28,0.58,0.31,0.58,2.4,1.4100000000000001,3.81,1.63,3.03,1
95,Juventus,1.32,0.72,2.04,0.9400000000000001,1.67,0.74,0.62,1.3599999999999999,0.74,1.3599999999999999,Milan,1.97,1.1400000000000001,3.1,1.18,2.32,0.76,0.6000000000000001,1.3599999999999999,0.76,1.3599999999999999,2
96,Juventus,1.32,0.72,2.04,0.9400000000000001,1.67,0.74,0.62,1.3599999999999999,0.74,1.3599999999999999,Napoli,2.48,1.55,4.04,1.71,3.26,0.53,0.1,0.63,0.14,0.24,2
97,Juventus,1.32,0.72,2.04,0.9400000000000001,1.67,0.74,0.62,1.3599999999999999,0.74,1.3599999999999999,Inter,1.79,1.5,3.29,1.79,3.29,0.71,0.42,1.1400000000000001,0.71,1.1400000000000001,2
98,Juventus,1.32,0.72,2.04,0.9400000000000001,1.67,0.74,0.62,1.3599999999999999,0.74,1.3599999999999999,Hellas Verona,0.63,0.32,0.9500000000000001,0.63,0.9500000000000001,1.12,0.61,1.73,1.12,1.73,1
99,Juventus,1.32,0.72,2.04,0.9400000000000001,1.67,0.74,0.62,1.3599999999999999,0.74,1.3599999999999999,Fiorentina,1.17,0.84,2.0,1.17,2.0,0.23,0.21,0.45,0.23,0.45,2
100,Juventus,1.32,0.72,2.04,0.9400000000000001,1.67,0.74,0.62,1.3599999999999999,0.74,1.3599999999999999,Lecce,0.85,0.73,1.58,0.85,1.58,1.46,1.44,2.9,1.46,2.9,1
101,Juventus,1.32,0.72,2.04,0.9400000000000001,1.67,0.74,0.62,1.3599999999999999,0.74,1.3599999999999999,Atalanta,1.48,1.06,2.54,1.48,2.54,0.58,0.54,1.12,0.58,1.12,2
102,Juventus,1.32,0.72,2.04,0.9400000000000001,1.67,0.74,0.62,1.3599999999999999,0.74,1.3599999999999999,Monza,1.38,1.16,2.55,1.38,2.55,1.82,1.52,3.34,1.82,3.34,1
103,Juventus,1.32,0.72,2.04,0.9400000000000001,1.67,0.74,0.62,1.3599999999999999,0.74,1.3599999999999999,Frosinone,0.81,0.37,1.18,0.41000000000000003,0.78,1.57,1.2,2.77,1.57,2.77,1
104,Juventus,1.32,0.72,2.04,0.9400000000000001,1.67,0.74,0.62,1.3599999999999999,0.74,1.3599999999999999,Genoa,0.38,0.22,0.6000000000000001,0.38,0.6000000000000001,1.2,0.41000000000000003,1.62,1.2,1.62,1
105,Juventus,1.32,0.72,2.04,0.9400000000000001,1.67,0.74,0.62,1.3599999999999999,0.74,1.3599999999999999,Salernitana,0.32,0.31,0.63,0.32,0.63,1.34,0.93,2.27,1.34,2.27,1
106,Juventus,1.32,0.72,2.04,0.9400000000000001,1.67,0.74,0.62,1.3599999999999999,0.74,1.3599999999999999,Roma,1.72,1.05,2.77,1.72,2.77,0.45,0.17,0.62,0.45,0.62,2
107,Juventus,1.32,0.72,2.04,0.9400000000000001,1.67,0.74,0.62,1.3599999999999999,0.74,1.3599999999999999,Bologna,0.77,0.63,1.4,0.77,1.4,0.86,0.66,1.52,0.86,1.52,1
108,Juventus,1.32,0.72,2.04,0.9400000000000001,1.67,0.74,0.62,1.3599999999999999,0.74,1.3599999999999999,Cagliari,0.52,0.32,0.84,0.52,0.84,0.9400000000000001,0.64,1.58,0.9400000000000001,1.58,1
109,Juventus,1.32,0.72,2.04,0.9400000000000001,1.67,0.74,0.62,1.3599999999999999,0.74,1.3599999999999999,Udinese,0.88,0.6900000000000001,1.57,0.88,1.57,1.16,0.75,1.9,0.78,1.53,1
110,Juventus,1.32,0.72,2.04,0.9400000000000001,1.67,0.74,0.62,1.3599999999999999,0.74,1.3599999999999999,Torino,0.72,0.53,1.25,0.72,1.25,1.71,0.8200000000000001,2.5300000000000002,0.92,1.74,1
111,Juventus,1.32,0.72,2.04,0.9400000000000001,1.67,0.74,0.62,1.3599999999999999,0.74,1.3599999999999999,Lazio,1.5,1.01,2.51,1.5,2.51,1.0,0.74,1.74,1.0,1.74,2
112,Juventus,1.32,0.72,2.04,0.9400000000000001,1.67,0.74,0.62,1.3599999999999999,0.74,1.3599999999999999,Empoli,0.8300000000000001,0.53,1.3599999999999999,0.8300000000000001,1.3599999999999999,1.25,1.15,2.4,1.25,2.4,1
113,Juventus,1.32,0.72,2.04,0.9400000000000001,1.67,0.74,0.62,1.3599999999999999,0.74,1.3599999999999999,Sassuolo,0.31,0.28,0.58,0.31,0.58,2.4,1.4100000000000001,3.81,1.63,3.03,1
114,Lecce,0.85,0.73,1.58,0.85,1.58,1.46,1.44,2.9,1.46,2.9,Milan,1.97,1.1400000000000001,3.1,1.18,2.32,0.76,0.6000000000000001,1.3599999999999999,0.76,1.3599999999999999,2
